,title,cast,description,genre,duration,release_year,country,rating
3333,kenburns:theroosevelts:anintimatehistory,,award-winning documentarian burn profile three member one america ' premier political families : theodore franklin eleanor roosevelt .,docuseries,one,2014,united states,tv-pg
3334,kenburns:thewest,peter coyote,historian ken burn team bring life challenge american faced 19th century embarked westward expansion .,docuseries,one,1996,united states,tv-pg
3336,kenganashura,tatsuhisa suzuki  cho  jouji nakata  yumi uchiyama  hayato kaneko  tetsu inada  yasuyuki kase  junya enoki  daisuke namikawa  ryuzo hasuike,ohma tokita enters hidden world corporate dispute settled brutal gladiator bouts. forget money want fight â€ “ win .,anime,two,2019,united states  japan,r
3338,kevinhart:donâ€™tf**kthisup,,amid turmoil career marriage comedian film star kevin hart open personal breakthrough navigates crisis fame .,docuseries,one,2019,united states,r
3350,khaani,feroze khan  sana javed  mehmood aslam  saman ansari  qavi khan  salma hasan  rashid farooqi  muhammad mubarik ali,rich politician ' son kill young woman ' brother unlikely romantic connection complicates pursuit justice .,crime,one,2017,pakistan,tv-pg
3352,khan:no.1crimehunter,rajesh sharma,fake marriage online shopping fraud whip-smart police officer investigates truly baffling con inspired true stories .,crime,one,2018,india,tv-pg
3353,kheltihaizindagiaankhmicholi,ulka gupta  gautami kapoor  reema shaikh  vinay jain  manav gohil  helly shah,life 14-year-old girl thrown turmoil father dy forcing mother make hard choice family .,international,one,2013,india,tv-pg
3358,khoteysikkey,vikas kumar  hassan zaidi  sukhmani sadana  puru chibber  dilkhush  mark farokh parakh,five affluent youth find new sense purpose team mumbai police officer crime-busting mission around city .,crime,one,2011,india,tv-pg
3362,kibaohklashers,ben diskin  cherami leigh  dakota basseri  keith silverstein  johnny yong bosch  lucien dodge  jamie simone  nicolas roye  robbie daymond  michael sorich,young beetle dylan friend hailey ollie team compete tough opponent exciting high-octane sport battle blading .,kids',two,2017,china,tv-y7
3366,kicko&superspeedo,,high-energy animated series follows gutsy kid trusty race-car pal save city bad guy scary vehicles .,kids',one,2018,,tv-y7
3368,kid-e-cats,lori gardner  kate bristol  billy bob thompson  marc thompson  erica schroeder,cookie pudding candy kitten sibling whose favorite thing sweet treat letting curiosity lead adventure learning .,kids',one,2016,russia,tv-y
3372,kikoriki,igor dmitriev,wacky rabbit gang animal pal fun solving problem sharing story exploring sometimes magical always special world .,kids',two,2010,,tv-y
3377,killlakill,ami koshimizu  toshihiko seki  ryoka yuzuki  aya suzaki  shinichiro miki  tetsu inada  nobuyuki hiyama  mayumi shintani  hiroyuki yoshino  romi park,""" woman scissor blade "" â€ “ ryuko matoi â€ “ search clue around world truth behind father ' death .",anime,one,2014,japan,r
3384,killerinside:themindofaaronhernandez,aaron hernandez,via interview friend player insider docuseries examines aaron hernandez went nfl star convicted killer .,crime,one,2020,united states,r
3386,killerratings,,brazilian tv personality politician wallace souza face accusation masterminding violent crime reported rallied .,crime,one,2019,,r
3387,killerwomenwithpiersmorgan,piers morgan,journalist pier morgan go behind prison wall speak woman convicted shocking crime shedding light drove murder .,british,one,2017,united kingdom,r
3393,kim'sconvenience,paul sun-hyung lee  jean yoon  andrea bang  simu liu  andrew phung  nicole power,running convenience store toronto member korean-canadian family deal customer evolving world around .,tv,four,2020,canada,r
3398,kingâ€™swar,chen daoming  peter ho  duan yihong  qin lan  li yixiao  yang lixin  you yong  yu hewei,210 b.c. upheaval following death emperor qin insurgent warrior xiang yu liu bang fight control chinese empire .,international,one,2012,china,tv-pg
3399,kingdom,frank grillo  kiele sanchez  matt lauria  jonathan tucker  nick jonas  joanna going  juliette jackson  paul walter hauser  joe stevenson,struggling keep training center afloat former mma legend face challenge try manage complicated family dynamic .,tv,three,2017,united states,r
3401,kingdomsofthesky,,meet astonishing animal adventurous people living spectacular â€ “ formidable â€ “ mountain range world .,british,one,2018,,tv-pg
3404,kingsofjo'burg,shona ferguson  zolisa xaluva  tsholofelo matshaba  sello sebotsane  buhle samuels  thembi seete  tk sebothoma  cindy mahlangu  lunathi mampofu  abdul khoza  connie ferguson,masire brother rule johannesburg ' criminal underworld supernatural family curse tangled web betrayal threaten destroy .,crime,one,2020,south africa,r
3405,kipoandtheageofwonderbeasts,karen fukuhara  sydney mikayla  deon cole  coy stewart  dee bradley baker  sterling k. brown  dan stevens  jake green  steve blum,making way world mutant animal sheltered yet scrappy girl learns survive â€ “ get home â€ “ help ragtag crew .,kids',three,2020,united states,tv-y7
3410,kissmefirst,tallulah haddon  simona brown  matthew beard  matthew aubrey,lonely young woman hooked virtual reality game befriends party girl lead world new thrill dark secrets .,british,one,2018,united kingdom  united states,r
3413,kisstheseries,lapassalal jiravechsoontornkul  mook worranit thawornwong  jirakit thawornwong  sattaphong phiangphor,night sandee wake discover buddy either taken platonic friendship whole new level ruined forever .,international,one,2016,,tv-pg
3414,kissinggame,caio horowicz  iza moreira  michel joelsas  denise fraga  thomã¡s aquino  luana nastas  esther tinman  kevin vechiatto  grace passã´  bianca byington  bruno garcia  flã¡vio tolezani  carolina del carmen peleritti,"high school rural isolated ranching community family panic teen contract mysterious "" kissing disease "" quickly spreads .",international,one,2020,brazil,r
3416,kittenrescuers,jo brand,cat-crazy host jo brand follows vet animal welfare officer take daring rescue save furry feline subjected different cat-astrophes .,british,one,2017,united kingdom,tv-pg
3419,knightfall,tom cullen  jim carter  pã¡draic delaney  simon merrells  julian ovenden  olivia ross  ed stoppard  sabrina bartlett  bobby schofield  sarah-sofie boussnina,fifteen year crusade ended defeat veteran knight becomes master order ' paris temple discovers shocking secret .,tv,two,2019,united states,r
3420,knightsofsidonia,ryota osaka  aya suzaki  aki toyosaki  takahiro sakurai  hisako kanemoto  eri kitamura  sayaka ohara  tomohiro tsuboi  takehito koyasu  satomi arai  atsuko tanaka  nanako mori  takako honda  kohsuke toriumi  ayane sakura  osamu saka,hero rise save world ' also spaceship siege alien threat original anime series based popular manga comic .,anime,two,2015,japan,r
3425,koone,aaron yan  jiro wang  calvin ka-sing chen  danson tang  tsai yi-chen  alien huang,gifted special power fighting skill slick hair rowdy ko one navigates tough friendship high school romance .,international,one,2005,taiwan,r
3426,koonereturn,jiro wang  pets tseng  sam lin  xu ming-jie  sylvia wang  monkey shao  zhang hao ming  na wei-hsun,time quake propels wang dadong future encounter classmate named king presides ko one .,international,one,2012,,r
3434,konkonkon,,explore story ordinary people dealing extraordinary circumstance series focus overcoming obstacle odds .,docuseries ,one,2014,,tv-pg
3436,kong:kingoftheapes,lee tockar  sam vincent  alessandro juliani  tabitha st. germain  kathleen barr  viv leacock  shannon chan-kent  vincent tong,2050 evil scientist unleash army robotic dinosaurs. ' kong friend fight back save day .,kids',two,2018,united states  japan  canada,tv-y7
3437,kongsuniandfriends,hong so-yeong  choi bo-bae  kim eun-ah  jeong hye-won  bae jin-hong  um sang-hyun  cha moo-jin  jang min-young  jang do-young  kim sook-young  park ran  kim chang-won  park yeon-kyung,bright-eyed girl magical owl sidekick find adventure enchanting power creative idea lead important lessons .,kids',two,2020,,tv-y
3438,kopitiam,joanna bessey  douglas lim  lina teoh  rashid salleh  mano maniam  tan jin chor,young woman return malaysia take fatherâ€ ™s old coffee shop. along inheriting kopitiam gain kooky group friends .,international,seven,2003,malaysia,tv-pg
3439,koreanporkbellyrhapsody,paik jong-won,love letter pork belly â€ ” perennial favorite among korean every generation â€ ” unfolds exploration history cooking methods .,docuseries ,one,2020,,tv-pg
3452,krishnabalram,vatsal dubey  julie tejwani  rupa bhimani  jigna bhardwaj  arun shekher  sanchit wartak  sharda agnihotri  ashok sonawane  joy mukherjee,playing prank destroying demon lord krishna brother balaram ' life vrindavan action-packed mythological series .,kids',one,2019,,tv-y7
3460,kulipari:anarmyoffrogs,mark hamill  keith david  wendie malick  josh keaton  mikey kelley  phil lamarr  laraine newman  jess harnell  charles adler  amy margolis  cree summer  lacey chabert  rolonda watts  kevin michael richardson  candi milo,tale bravery heroism fearless frog go war sinister scorpion spider teamed conquer amphibians .,kids',one,2016,united states,tv-y7
3461,kulipari:dreamwalker,charlie adler  mark hamill  jess harnell  phil lamarr  josh keaton  mikey kelley  amy margolis  wendie malick  kevin michael richardson  candi milo  laraine newman,blue sky king darel must lead rescue mission save dream walker â€ “ leaving village protection kulipari youth .,kids',one,2018,,tv-y7
3470,kuroko'sbasketball,kensho ono  yuki ono  chiwa saito  yoshimasa hosoya  hirofumi nojima  kenji hamada  takuya eguchi  soichiro hoshi  tatsuhisa suzuki  go inoue  daisuke ono  ryohei kimura  junichi suwabe  kazuya nakai  fumiko orikasa  kenichi suzumura  kisho taniyama  hiroshi kamiya,five middle school basketball star went separate high school tetsuya kuroko seirin high making play glory .,anime,one,2013,japan,r
3471,kuromukuro,yohei azakami  mãƒ»aãƒ»o  reina ueda  asami seto  kaito ishikawa  yusuke kobayashi  shunsuke takeuchi  manami sugihira  momo asakura  kanako tojo  ryohei kimura  hikaru ueda  taiten kusunoki,mecha attack research center student pilot researcher must fight back help mysterious artifact young samurai .,anime,two,2016,japan,tv-pg
3473,kurtseyit&sura,kä±vanã§ tatlä±tuäÿ  farah zeynep abdullah  fahriye evcen  ushan ã‡akä±r  birkan sokullu,turkish lieutenant daughter russian noble fight love force family social expectation historical events .,international,one,2014,turkey,tv-pg
3481,l.a.â€™sfinest,jessica alba  gabrielle union,"spinoff "" bad boys "" franchise two police detective team trying keep stormy past â€ ” difference â€ ” interfering .",crime,one,2019,united states,tv-pg
3486,lacasadepapel,ãšrsula corberã³  itziar ituã±o  ãlvaro morte  paco tous  enrique arce  pedro alonso  marã­a pedraza  alba flores  miguel herrã¡n  jaime lorente  esther acebo  darko peric  kiti mã¡nver,eight thief take hostage lock royal mint spain criminal mastermind manipulates police carry plan .,crime,four,2020,spain,r
3488,ladoã±a,aracely arã¡mbula  david chocarro  danna paola  rebecca jones  odiseo bichir  gabriela roel  andrea martã­  juan rã­os cantãº  diego soldano  daniela bascopã©,world collide life shatter altagracia powerful elegant businesswoman plot ruthless revenge falling love .,spanish-language,one,2016,united states  mexico,tv-pg
3489,laesclavablanca,nerea camacho  oriã¡n suã¡rez  miguel de miguel  modesto lacen  norma martã­nez  ricardo vesga  viã±a machado  andrã©s suã¡rez  natasha klauss  miroslava morales,colombia 1821 white orphan taken black slaves. year torn return find family childhood love .,international,one,2016,colombia,r
3490,lafamiliap.luche,eugenio derbez  consuelo duval  luis manuel ãvila  regina blandã³n  miguel perez  barbara torres  dalilah polanco  pierre angelo,irreverent sitcom featues ludovico federica three child bibi junior ludoviquito living ciudad p. luche .,international,three,2012,united states,tv-pg
3491,lafemme,zoe tay  ann kok  tiffany leong  tay ping hui  yao wenlong  shaun chen  paige chua  nat ho  desmond sim,personal desire guide life marriage-averse entrepreneur housewife coping infidelity career woman leaf spouse .,international,one,2016,,tv-pg
3493,lagrandechaumiã¨reviolette,eli shi  alice ko  jen-shuo cheng  chiung-hsuan hsieh  herb hsu  bryant lee  hsiu-ling lin  ma ju-lung  ching-kuan wang,reminiscing youth taiwan ' turbulent 1920s guo xuehu reflects passion art friendship painter â€ “ doomed romance .,international,one,2016,taiwan,tv-pg
3494,lalã­nea:shadowofnarco,,stone ' throw africa spanish beach town la lã­nea drug smuggling hot spot. police mayor determined change .,crime,one,2020,spain,r
3496,lamante,carole bouquet  fred testot  pascal demolon  manon azem  frã©dã©rique bel  ã‰lodie navarre  jacques weber,decade capture serial killer offer help solve string copycat murder â€ “ son cop work side .,crime,one,2017,france,r
3497,laniã±a,ana marã­a estupiã±ã¡n  sebastian eslava  juan sebastiã¡n aragã³n  diego vã¡squez  carlos velazquez  marcela benjumea  melisa caceres  michelle orozco  alberto cardeã±o  constanza camelo  fernando arã©valo,former colombian guerrilla fighter face challenge reintegrates society try overcome traumatic memories .,crime,one,2016,colombia,r
3499,lapiloto,livia brito  juan eduardo colucho  arap bethke  marã­a fernanda yã©pes  alejandro nones  marã­a de la fuente  verã³nica montes  natasha domã­nguez  marã­a fernanda garcã­a  mauricio aspe  stephanie salas  tommy vasquez  macarena achaga,dreaming whole life becoming pilot yolanda find work flight attendant unaware ' soon thrust drug smuggling operation .,crime,one,2017,mexico,r
3500,larã©volution,amir el kacem  marilou aussilloux  lionel erdogan  isabel aimã© gonzalez sola  julien frison  doudou masta  dimitri storoge  amã©lia lacquemant  coline beal  laurent lucas  gaia weiss  chiara tantimonaco  nina tantimonaco  pierre andrau  philippine martinot  jã©rã©mie covillault,reimagined history mysterious disease besets 18th century france culminating brutal clash rebel aristocracy .,international,one,2020,france,r
3501,lareinadelsur,kate del castillo  cristina urgel  alberto jimã©nez  juan josã© arjona  humberto zurita  dagoberto gama  christian tappã¡n  miguel de miguel  salvador zerboni  carmen navarro  santiago melã©ndez  juan carlos solarte,compelling show tell story legendary teresa mendoza courageous woman perceived conquering world drug trafficking .,crime,two,2019,mexico  united states  spain  colombia,r
3502,larobedemarieedescieux,cyndi wang  leon jay williams  chu chung-heng  michael tao  ming dao  jacky chu  ehlo huang  terri kwan,chance encounter end bad term two clashing stranger soon cross path fate become inevitably intertwined .,international,one,2004,taiwan,r
3503,larosadeguadalupe,milia nader  francisco avendaã±o  diego lara  sandra itzel  marisol del olmo  aleyda gallardo  gerardo murguã­a  roxana saucedo  emmanuel orenday  maru dueã±as,series responds need believe miracle dream love story happy ending positive characters .,classic,one,2010,mexico,tv-pg
3504,laviudanegra,ana serradilla  juliã¡n romã¡n  ramiro meneses  juan pablo gamboa  eileen moreno  luis alfredo velasco  margarita reyes  alexander gil  luis roberto guzmã¡n  raãºl mã©ndez,beautiful ruthless griselda blanco known queen cocaine becomes pablo escobar ' bos governs world deceit death .,crime,one,2016,colombia  mexico  united states,tv-pg
3509,ladiesup,prashasti singh  kaneez surka  niveditha prakasam  supriya joshi,rising india-based comic prashasti singh kaneez surka supriya joshi niveditha prakasam bring no-holds-barred humor stand-up series .,international,one,2019,india,r
3513,ladydynamite,maria bamford  fred melamed  mary kay place  ed begley jr.  ana gasteyer  lennon parham  bridget everett  mo collins  june diane raphael  dean cain  ã“lafur darri ã“lafsson  patton oswalt  keith lucas  kenny lucas  sarah silverman  mira sorvino  jon cryer  brandon routh  adam pally  tig notaro  andy samberg  david spade  fred armisen  jason mantzoukas  jenny slate  judd apatow  judy greer  weird al yankovic,comedian maria bamford star series inspired life. ' sometimes surreal story woman loses â€ “ find â€ “ s**t .,tv,two,2017,united states,r
3517,ladylavendedoraderosas,natalia reyes  michelle orozco  majida issa  ernesto benjumea  viã±a machado  carlos mariã±o  alberto cardeã±o  fabio restrepo  juan pablo barragã¡n  maria jose vargas,series tell life story colombian film star lady tabares wa plucked mean street star film quickly rose fame .,international,one,2015,colombia,tv-pg
3525,landgirls,becci gemmell  susan cookson  mark benton  mykola allen  sophie ward  jo woodcock  seline hizli  liam boyle  danny webb  nicholas shaw  carolyn pickles  david schofield  summer strallen  christine bottomley,follow life love high low four member women ' land army working hoxley estate wwii .,british,three,2011,united kingdom,tv-pg
3529,larrycharles'dangerousworldofcomedy,larry charles,legendary comedy writer director larry charles travel world search humor unusual unexpected dangerous places .,docuseries ,one,2019,,r
3531,larva,,two curious worm spend day investigating otherworldly object fall grate subterranean world .,kids',three,2015,russia,tv-y7
3532,larvaisland,hong bum-ki  eddy lee  ahn hyo-min  kang shi-hyun  tom wayland  erica schroeder,stranded tropical island two silly larva buddy find slapstick fun everything discovering food meeting new animal friends .,kids',two,2019,,tv-y7
3533,lasmuã±ecasdelamafia,amparo grisales  fernando solã³rzano  angelica blandon  katherine escobar  yuly ferreira  alejandra sandoval  andrea gã³mez  andrea guzmã¡n  diego vã¡squez  juliã¡n romã¡n  juan pablo franco,"based book "" las fantã ¡ sticas "" exciting telenovela follows tumultuous life five woman get mixed mafia .",crime,two,2018,colombia,r
3534,last,kye-sang yoon  beom-su lee  ye-ji seo  won-sang park  ye-jin park  hyung-jin gong  jong-jun jeong  se-ha ahn  jae-yee goo  yong-woo lee,big stock plan fails hotshot fund manager wind homeless must learn secret ranking system street order survive .,crime,one,2015,south korea,tv-pg
3536,lastchanceu,john franklin iii  dj law  buddy stephens  brittany wagner  ronald ollie,docuseries set one ncaa football ' fertile recruiting ground guy red flag seek prove worth field class .,docuseries,five,2020,united states,r
3539,lasthope,tomoaki maeno  kana hanazawa  kenjiro tsuda  nao toyama  yuma uchida  unsho ishizuka  yuuichirou umehara  ai kayano,causing near extinction mankind seven year ago genius scientist leon lau must fight ecological disaster unwittingly created .,anime,two,2018,japan,tv-pg
3542,lasttangoinhalifax,derek jacobi  anne reid  sarah lancashire  nicola walker  edward ashley  louis greatorex  josh bolt,two widowed childhood sweetheart fall reunited internet nearly 60 years .,british,four,2020,united kingdom,r
3546,lavender,ambrose hsu  tammy chen  wang jian long  lin wei jun  hsia ching ting  lin heng yi,one move u.s. two childhood friend promise reunite adults. illness vagary heart stand way .,international,one,2002,taiwan,tv-pg
3548,lawsofattraction,wayne chua  frederick lee  steve yap  tiffany leong  aenie wong  kyo chen  angie seow,four couple â€ “ speed-dating pair husband wife man living older woman co-worker opposite view â€ “ weather ups downs .,international,one,2012,,tv-pg
3554,leahremini:scientologyandtheaftermath,leah remini  mike rinder,former scientology member share detailed account alleged abuse harassment church docuseries actress leah remini .,docuseries,three,2018,united states,tv-pg
3561,learningsongsbylittlebabybum:nurseryrhymefriends,chloe marsden  aaron marsden  marã­a esnoz,simple song mix colorful animation teach youngster concept animal vehicle number color .,british,one,2015,,tv-y
3562,learningtimewithtimmy,saskia portway,colorful character edutaining activity help make learning english fun series geared toward youngsters .,british,one,2018,united kingdom,tv-y
3566,legacies,danielle rose russell  aria shahghasemi  kaylee bryant  jenny boyd  quincy fouse  peyton alex smith  matthew davis  archie l. winston,born rare supernatural bloodline hope mikaelson attends gifted private school master power control innate urge evil .,tv,two,2019,united states,tv-pg
3570,legendquest,benny emmanuel  maytã© cordeiro  andrã©s couturier  ricardo o'farrill  alondra hidalgo  alejandro villeli  sofã­a niã±o de rivera  johnny rose  annemarie blanco  oscar cheda  paul tei  cydney j. fam  lisa grossman,evil force threatens village gifted teen talk ghost put skill good use one legend time .,kids',one,2017,mexico,tv-y7
3571,legendquest:mastersofmyth,johnny rose  annemarie blanco  paul tei  oscar cheda  chuck morgan  jenna lamia  james carrey,mythical creature come life ' leo teodora andrã © alebrije â€ “ super-secret monster hunter â€ “ save day .,kids',one,2019,mexico,tv-y7
3573,legendsofstrength,eugen sandow  apollon,circus entertainer grip master meet bodybuilding hero defied physical limit redefined meaning strength .,docuseries,one,2017,united states,tv-pg
3576,legobionicle:thejourneytoone,nolan balzer  paolo bryant  jacqui fox  quinn greene  geoff hughes  cory hunter  william jordan  corny rempel  michael strickland,six legendary hero find epic quest harness power nature ' element defeat force evil .,kids',two,2016,united states,tv-y7
3578,legoelves:secretsofelvendale,ashleigh ball  erin mathews  rebecca husain  kyle rideout  riley murdock  vincent tong  nicole oliver  scott mcneil  kathleen barr,armed powerful amulet teenage guardian tasked protecting little sister â€ “ elvendale. based popular web series .,kids',one,2017,united states,tv-y7
3579,legofriends,elisa schnebelie  raquel christiana  lucia vecchio  karen strassman  michelle ruff  sam riegel,way make friend new girl town olivia volunteer work heartlake city world petacular four girls .,kids',three,2017,,tv-pg
3580,legofriends:girlsonamission,jasmine st. clair  allegra clark  rosamund marks  faye mata  kira buckland  david roach  bradley venable,five best friend put teamwork wit courage test take mission protect heartlake city bad people .,kids',one,2018,denmark,tv-y
3581,legofriends:thepoweroffriendship,erica mendez  marianne miller  rachelle heger  millie o'conner  alexa kahn  doug stone  chris smith  bryce papenbrook  heather downey  chris hackney  ben pronsky,five best friend face adventure side side hometown. zany antic love misstep better friends !,kids',two,2016,denmark,tv-y7
3583,legojurassicworld:legendofislanublar,,jurassic park velociraptor handler operation manager tackle crisis epic proportion try prevent dinosaur-sized disasters .,kids',one,2019,united states,tv-y
3584,legojurassicworld:secretexhibit,britt mckillip  ian hanlin  dhirendra  alex zahara  vincent tong  bethany brown  adrian petriw  sabrina pitre,can-do problem solver team rugged animal behaviorist transport trio dinosaur across park super-secret exhibit .,kids',one,2018,united states,tv-y
3589,legoninjago,michael adamthwaite  paul dobson  kelly metzger  brent miller  kirby morrow  pauline newstone  vincent tong  sam vincent,fighting foe across ninjago city beyond ninja embark new quest gain newfound ally power friendship tested .,kids',two,2020,canada,tv-y7
3590,legoninjago:mastersofspinjitzu,vincent tong  jillian michaels  ian james corlett  john novak  paul dobson  michael adamthwaite  kelly metzger  brent miller  kirby morrow  brian drummond  mark oliver  michael kopsa,kai jay cole zane must master elemental power spinjitzu weapon protect land ninjago also ha underworld .,kids',ten,2019,denmark  singapore  canada  united states,tv-y7
3592,lego:cityadventures,joe zieja  misty lee  alex cazares  daniel mk cohen  james arnold taylor  roger craig smith  mick lauer,boomtown built fun friendship wacky mischief quirky crew cop firefighter work hard preserve peace awesomeness .,kids',one,2019,united states  france,tv-y
3594,leila,huma qureshi  siddharth  rahul khanna  arif zakaria  seema biswas  sanjay suri  akash khurana  ashwath bhatt  anupam bhattacharya  adarsh gourav,near-future world oppressive regime segregate society one woman skirt system search daughter taken year ago .,international,one,2019,india,r
3596,lenoxhill,,four doctor new york ' storied lenox hill hospital balance personal life dedication patient documentary series .,docuseries ,one,2020,united states,r
3598,leo&tig,agniya kuznetsova  alexandra ursulyak  dmitriy nazarov  diomid vinogradov  elena shulman  kseniya kutepova,spunky leopard cub leo loyal tiger pal tig team fun adventure explore forest learn ancient legends .,kids',one,2017,,tv-y
3608,let'seat2,yoon du-jun  seo hyun-jin  kwon yul  kim hee-won  hwang seog-jeong  cho eun-ji  hwang seung-un  lee ju-seung  kim ji-young,two classmate elementary school reunite next-door neighbor discover relationship wa â€ “ still â€ “ defined food .,international,one,2015,malaysia  singapore  hong kong,r
3609,letâ€™seat,lee soo-kyung  yoon du-jun  yoon so-hui  shim hyoung-tak  do-yeon lee  jang won-young  jung soo-young,help neighbor divorced woman residing one-person-household apartment complex learns balance living alone eating well .,international,one,2013,south korea,tv-pg
3610,levius,nobunaga shimazaki  junichi suwabe  takahiro sakurai  ayane sakura  hochu otsuka  daisuke ono  saori hayami  mamoru miyano,young levius rise rank brutal world metal boxing uncle ' guidance. force outside ring eye .,anime,one,2019,japan,tv-pg
3611,leylaandmecnun,ali atay  melis birkan  serkan keskin  ahmet mã¼mtaz taylan  cengiz bozkurt  osman sonant  kã¶ksal engã¼r  ege tanman  ä°åÿtar gã¶kseven,destiny brings mecnun leyla together newborn year later. despite unexpected turn mecnun ' zany life leyla remains constant .,international,three,2014,turkey,r
3617,licensetodrill:louisiana,,crew oil rigger work off-season job swap blistering cold native canada sunny southern comfort big easy .,reality,one,2014,canada,tv-pg
3619,life,lee dong-wook  cho seung-woo  won jin-ah  lee kyu-hyung  moon sung-keun  yoo jae-myung  moon so-ri  chun ho-jin,korea ' top university medical center ideal interest collide patient-centered er doctor hospital ' newly-appointed ceo .,international,one,2018,south korea,r
3626,lifeonlocation,david attenborough,"member bbc ' "" life "" production crew go behind scene explain took capture key sequence program .",british,one,2009,united states,tv-pg
3628,lifeplanaandb,rainie yang  yan yu-lin  johnny lu  chang fu-chien  chen chi-hsia,two parallel life path begin man woman love offered lucrative promotion far away must choose love career .,international,one,2016,taiwan,tv-pg
3629,lifesentence,lucy hale,"cured thought wa terminal cancer stella abbott face slew experience â€ “ good bad â€ “ resulting year "" living today . """,tv,one,2018,united states,tv-pg
3630,lifestory,david attenborough,documentary series follows wild creature native habitat navigate perilous journey birth adulthood beyond .,british,one,2014,united kingdom,tv-pg
3641,lilyhammer,steven van zandt  trond fausa  steinar sagen  robert skjã¦rstad  tommy karlsen  fridtjov sã¥heim  marian saastad ottesen,testifying mafia ex-gangster frank tagliano enters witness protection asks sent norway .,crime,three,2014,norway  united states,r
3643,limmy'sshow!,brian limond  debbie welsh  tom brogan  raymond mearns  kirstin mclean,"scottish comic brian "" limmy "" limond headline sketch series featuring various role tv psychic costumed adventurer "" falconhoof . """,british,two,2012,united kingdom,r
3647,lionpride,yen tsao  amanda chou  kevin liu  peace yang  kenny wen  tzu-chiang chao  vince kao  lin ching-tai  lin he xuan  michael yang,crossing path crime scene renowned math teacher antique appraiser embark unexpected journey love self-discovery .,international,one,2017,taiwan,r
3654,littlebabybum:nurseryrhymefriends,chloe marsden  aaron marsden  marã­a esnoz,twinkle mia jacus rest nursery rhyme friend perform catchy tune little ones .,british,two,2019,united kingdom,tv-y
3658,littlelunch,flynn curry  olivia deeble  madison lu  oisã­n o'leary  faith seci  joshua sitch  heidi arena,adopting child ' perspective show take humorous look happens action-packed 15 minute snack time day .,kids',one,2015,australia,
3665,littlesingham,swapnil kumari  jigna bhardwaj  sonal kaushal  neshma chemburkar  ganesh divekar  shaily dube  saumya daan  anamaya verma  parminder ghumman  pawan kalra,spinoff rohit shetty ' action franchise animated series follows brave kid cop little singhamâ€ ™s adventure defends town evil .,kids',two,2020,india,tv-y7
3674,littlethings,dhruv sehgal  mithila palkar,cohabiting couple 20 navigate ups work modern-day relationship finding contemporary mumbai .,international,three,2019,india,r
3675,littlewitchacademia,megumi han  fumiko orikasa  michiyo murase  yoko hikasa  arisa shida  rie murakawa  reina ueda  ryosuke kanemoto  junko takeuchi  noriko hidaka,akko enrolls luna nova witchcraft academy. ' best student bright attitude key friends ' success .,anime,two,2017,japan,tv-y7
3676,littlestpetshop:aworldofourown,rhona rees  ingrid nilson  diana kaarina  travis turner  lili beaudoin  kyle rideout  vincent tong  alessandro juliani  ian hanlin  brittney wilson  bethany brown  tabitha st. germain,paw-tucket pet type form friendship pursue passion great time .,kids',two,2018,united states,tv-y7
3677,livandmaddie,dove cameron  joey bragg  tenzing norgay trainor  kali rocha  benjamin king,four year hollywood television star liv return wisconsin discover either â€ “ family â€ “ ha changed .,kids',four,2017,united states,tv-pg
3678,live,jung yu-mi  lee kwang-soo  bae seong-woo  bae jong-ok  sung dong-il,police officer south korea ' busiest patrol division toil day night keeper law peace â€ “ reality far orderly .,crime,one,2018,south korea,r
3680,liveuptoyourname,kim nam-gil  kim ah-joong  yoo min-kyu  moon ga-young  yun ju-sang  um hyo-sup  an seok-hwan  lee dae-yeon  oh dae-whan,pushed together twist time joseon doctor cardiac surgeon overcome 400-year divide learn heal .,international,one,2017,south korea,r
3682,livingundocumented,,eight undocumented families ' fate roller-coast united states ' immigration policy transformed .,docuseries,one,2019,united states,r
3683,livingwithyourself,paul rudd  aisling bea  desmin borges  zoã« chao  karen pittman,burned life mile undergoes strange procedure strip mall spa â€ “ wake find ' replaced better version .,tv,one,2019,united states,r
3685,llamallama,jennifer garner  shayle simons  vania gill  islie hirvonen  brendon sunderland  austin abell  evans johnson  kathleen barr  david hoole,beloved children ' book character llama llama spring life heartwarming series family friendship learning new things .,kids',two,2019,united states,tv-y
3688,loquelaverdadesconde:elcasoasunta(operacionnenãºfar),,true crime series investigates newfound evidence unanswered question famous criminal case murder asunta basterra porto .,crime,one,2017,spain,tv-pg
3689,loquelavidamerobã³,angelique boyer  sebastiã¡n rulli  luis roberto guzmã¡n  osvaldo benavides  daniela castro  ana bertha espã­n  gabriela rivero  alejandro ãvila  alejandra garcã­a  carlos de la mota  sergio sendel  ferdinando valencia  grettell valdez  verã³nica jaspeado  margarita magaã±a  alexis ayala  alejandra procuna  juan carlos barreto,seaside aguazul beautiful montserrat wily mother tangle lover gangster financial ruin obsession â€ “ murder .,crime,one,2013,mexico,tv-pg
3690,loaded,jim howick  samuel anderson  jonny sweet  nick helm  mary mccormack  aimee-ffion edwards  lolly adefope,four friend become overnight millionaire selling video game start-up. newfound status test friendship resolve .,british,one,2017,united kingdom,r
